Unnamed: 0,long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,comment
23,Калининградский государственный технический университет,КГТУ,Калининградская область,1,5,https://tabiturient.ru/logovuz/klgtu.png,http://www.klgtu.ru,[],[],[],[],
24,Курский государственный университет,КГУ,Курская область,1,6,https://tabiturient.ru/logovuz/kursksu.png,https://kursksu.ru/,[],['8 (4712) 70-54-61'],[],[],
25,Костромской государственный университет,КГУ,Костромская область,1,5,https://tabiturient.ru/logovuz/ksuedu.png,https://ksu.edu.ru/,[],[],[],[],
26,Курганский государственный университет,КГУ,Курганская область,1,5,https://tabiturient.ru/logovuz/kgsu.png,http://kgsu.ru/,['+7 (3522) 65-30-30'],"['810345370000', '+7 (3522) 65-49-99']",[],[],
27,Калужский государственный университет им. К.Э. Циолковского,КГУ им. К.Э. Циолковского,Калужская область,1,7,https://tabiturient.ru/logovuz/tksu.png,https://tksu.ru/,[],[],[],[],
28,"Кубанский государственный университет физической культуры, спорта и туризма",КГУФКСТ,Краснодарский край,1,6,https://tabiturient.ru/logovuz/kgufkst.png,https://kgufkst.ru/,[],['+7 (861) 255-35-17'],['doc@kgufkst.ru'],[],
29,Казанский государственный энергетический университет,КГЭУ,Республика Татарстан,1,8,https://tabiturient.ru/logovuz/kgeu.png,https://kgeu.ru/,['+7 (843) 519-42-20'],[],[],[],
30,Курганский институт железнодорожного транспорта (филиал) Уральского государственного университета путей сообщения,КИЖТ УрГУПС,Курганская область,1,-1,https://tabiturient.ru/logovuz/usurt.png,https://kirt.usurt.ru/,[],[],[],[],
31,Крымский инженерно-педагогический университет имени Февзи Якубова,КИПУ им. Якубова,Республика Крым и Севастополь,1,3,https://tabiturient.ru/logovuz/kipu.png,http://kipu-rc.ru/,[],[],[],['cepu@crimeaedu.ru'],
32,Казанский национальный исследовательский технологический университет,КНИТУ,Республика Татарстан,1,6,https://tabiturient.ru/logovuz/knitu.png,https://www.kstu.ru/,[],[],[],[],
33,Казанский национальный исследовательский технический университет имени А. Н. Туполева,КНИТУ-КАИ,Республика Татарстан,1,8,https://tabiturient.ru/logovuz/kai.png,https://kai.ru/,[],['+7 (843) 231-01-09'],['kai@kai.ru'],[],
34,Коми республиканская академия государственной службы и управления,КРАГСиУ,Республика Коми,1,-1,https://tabiturient.ru/logovuz/krags.png,https://www.krags.ru/,['+7 (8212) 30-27-80'],[],[],['doc@krags.ru'],
35,"Крымский университет культуры, искусств и туризма",КУКИиТ,Республика Крым и Севастополь,1,-1,https://tabiturient.ru/logovuz/kukiit.png,http://kukiit.ru/,['8 (800)  200-01-22'],['8 (800)  200-01-22'],[],['kukiit@kukiit.ru'],
36,Корпоративный университет развития образования,КУРО,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/asou.png,https://kuro-mo.ru/,[],[],[],[],
37,Куйбышевский филиал Новосибирского государственного педагогического университета,КФ НГПУ,Новосибирская область,1,-1,https://tabiturient.ru/logovuz/nspu.png,https://kf.nspu.ru/,[],[],[],"['kf_ngpu@nspu.ru', '21-146@mail.ru']",
38,Казанский филиал Российского Государственного Университета Правосудия (г. Казань),КФ ФГБОУВО «РГУП»,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/raj.png,https://kb.rgup.ru,['+7 (843) 202-26-50'],[],[],[],
39,Казанский (Приволжский) Федеральный Университет,КФУ,Республика Татарстан,1,9,https://tabiturient.ru/logovuz/kfu.png,http://kpfu.ru/,[],[],[],['priem@kpfu.ru'],
40,Крымский федеральный университет имени В.И. Вернадского,КФУ им. Вернадского,Республика Крым и Севастополь,1,7,https://tabiturient.ru/logovuz/cfuv.png,https://cfuv.ru/,[],[],[],[],
41,Карачаево-Черкесский государственный университет имени У. Д. Алиева,КЧГУ им. У.Д. Алиева,Карачаево-Черкесская Республика,1,3,https://tabiturient.ru/logovuz/kchgu.png,https://kchgu.ru/,[],[],[],[],
42,Кабардино-Балкарский государственный аграрный университет имени В. М. Кокова,Кабардино-Балкарский ГАУ,Кабардино-Балкарская Республика,1,3,https://tabiturient.ru/logovuz/kbgau.png,https://kbgau.ru/,[],[],[],[],
43,Казанский государственный университет культуры и искусств,КазГИК,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kazgik.png,https://kazgik.ru/,['8 843 277-58-36'],"['8(843) 277-58-36', '8 843 277-58-36']",[],[],
44,Казанский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Казанский институт ВГУЮ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://kzn.rpa-mu.ru/,['+79272495155'],"['+7 (3852) 24-89-94', '+7 (812) 328-45-18', '+7 (843) 298-65-75', '+7 (4212) 94-00-26', '+7 (8142) 57-96-91', '+7 (4872) 70-02-24', '+7 (8452) 57-47-44', '+7 (8722) 51-57-33', '+7 (8342) 24-05-23', '+79272495155', '+7 (863) 308-95-24', '+7 (343) 251-37-00', '+7 (3952) 24-30-49']",['priem@kznrpa.ru'],['priem@kznrpa.ru'],
45,Казанский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Казанский филиал РАНХиГС,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kaz_ranepa.png,https://kaz.ranepa.ru/,[],[],[],[],
46,Калмыцкий государственный университет,КалмГУ,Республика Калмыкия,1,3,https://tabiturient.ru/logovuz/kalmgu.png,https://www.kalmgu.ru/,[],[],['uni@kalmsu.ru'],[],
47,Калужский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Калужский институт ВГУЮ,Калужская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://kaluga.rpa-mu.ru/,[],[],[],[],
48,Калужский филиал Московского государственного технического университета имени Н.Э. Баумана,Калужский филиал МГТУ им. Баумана,Калужская область,1,-1,https://tabiturient.ru/logovuz/mgtu.png,https://kf.bmstu.ru/,['+7 (800) 234-48-42'],[],[],['bauman.kf@bmstu.ru'],
49,Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Калужский филиал РАНХиГС,Калужская область,1,-1,https://tabiturient.ru/logovuz/klg_ranepa.png,https://klg.ranepa.ru/,[],[],[],[],
50,Калужский филиал Финансового Университета при Правительстве Российской Федерации,Калужский филиал ФУ при Правительстве РФ,Калужская область,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/kaluga/,[],[],[],[],
51,Камчатский государственный университет имени Витуса Беринга,КамГУ им. Витуса Беринга,Камчатский край,1,6,https://tabiturient.ru/logovuz/kamgu.png,http://www.kamgu.ru/,[],[],[],[],
52,Камчатский государственный технический университет,КамчатГТУ,Камчатский край,1,3,https://tabiturient.ru/logovuz/kamchatgtu.png,http://kamchatgtu.ru/,[],[],[],[],
53,Камышинский технологический институт (филиал) Волгоградского государственного технического университета,Камышинский технологический институт (филиал) ВолгГТУ,Волгоградская область,1,-1,https://tabiturient.ru/logovuz/vstu.png,https://www.kti.ru/,[],[],['webmaster@kti.ru'],[],
54,Карельский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Карельский филиал РАНХиГС,Республика Карелия,1,-1,https://tabiturient.ru/logovuz/krl_ranepa.png,https://krl.ranepa.ru/,[],[],[],[],
55,Каспийский институт морского и речного транспорта имени генерал-адмирала Ф.М. Апраксина - филиал Волжского государственного университета водного транспорта,Каспийский институт морского и речного транспорта  им. ген.-адм. Ф.М. Апраксина ВГУВТ,Астраханская область,1,-1,https://tabiturient.ru/logovuz/vsuwt.png,https://www.afvgavt.ru/,[],['8(8512)44-27-71'],[],[],
56,Кемеровский государственный институт культуры,КемГИК,Кемеровская область,1,-1,https://tabiturient.ru/logovuz/kemguki.png,http://www.kemguki.ru/,"['8 (3842) 73-28-56', '8 (3842) 73-28-08']",[],[],"['priemnaya@kemguki.ru', 'abitur@kemguki.ru']",
57,Кемеровский государственный медицинский университет,КемГМУ,Кемеровская область,1,6,https://tabiturient.ru/logovuz/kemsmu.png,https://kemsmu.ru/,"['8 (3842) 73-48-56', '+7 (905) 912-43-62']",[],[],"['abit@kemsma.ru', 'kemsma@kemsma.ru']",
58,Кемеровский государственный университет,КемГУ,Кемеровская область,1,5,https://tabiturient.ru/logovuz/kemsu.png,https://kemsu.ru/,"['+7 (3842) 58-38-85', '+7 (3842) 58-39-12']",['8 (800) 222-55-71'],['webkemsu@mail.ru'],['priem@kemsu.ru'],
59,Керченский филиал Крымского инженерно-педагогического университета имени Февзи Якубова,Керченский филиал КИПУ им. Якубова,Республика Крым и Севастополь,1,-1,https://tabiturient.ru/logovuz/kipu.png,https://kerch.kipu-rc.ru/,['+7 (978) 024-72-32'],['+7 (978) 024-72-32'],['ykp_kerch@mail.ru'],['ykp_kerch@mail.ru'],
60,Кировский государственный медицинский университет,Кировский ГМУ,Кировская область,1,7,https://tabiturient.ru/logovuz/kirovgma.png,https://www.kirovgma.ru/,[],['8\xa0(8332)\xa064-09-76'],['med@kirovgma.ru'],[],
61,Кировский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Кировский филиал РАНХиГС,Кировская область,1,-1,https://tabiturient.ru/logovuz/krv_ranepa.png,https://krv.ranepa.ru/,[],[],[],[],
62,Комсомольский-на-Амуре государственный университет,КнАГУ,Хабаровский край,1,3,https://tabiturient.ru/logovuz/knastu.png,https://knastu.ru/,['8 (800) 222-55-71'],['8 (800) 222-55-71'],[],[],
63,Нижегородский государственный инженерно-экономический университет,Княгининский университет,Нижегородская область,1,3,https://tabiturient.ru/logovuz/ngieu.png,http://ngieu.ru/,[],[],[],[],
64,Коломенский институт (филиал) Московского политехнического университета,Коломенский институт Московского политеха,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/mospolytech.png,https://polytech-kolomna.ru/,"['+7(496)615-16-47', '8 496 615-16-47']",['+7(496)615-16-47'],[],['polytech-kolomna@mail.ru'],
65,Костромская государственная сельскохозяйственная академия,Костромская ГСХА,Костромская область,1,3,https://tabiturient.ru/logovuz/kgsxa.png,https://kgsxa.ru/,[],[],[],[],
66,Крымский филиал Российского Государственного Университета Правосудия,КрФ ФГБОУВО «РГУП»,Республика Крым и Севастополь,1,-1,https://tabiturient.ru/logovuz/raj.png,https://crb.rgup.ru/,['+7 (3652) 66-84-41'],[],[],[],
67,Красноярский государственный аграрный университет,КрасГАУ,Красноярский край,1,5,https://tabiturient.ru/logovuz/krasgau.png,http://www.kgau.ru/,[],[],[],[],
68,Красноярский государственный медицинский университет,КрасГМУ,Красноярский край,1,9,https://tabiturient.ru/logovuz/krasgmu.png,https://krasgmu.ru/,[],[],[],[],
69,Краснодарский филиал Российского экономического университета имени Г.В. Плеханова,Краснодарский филиал РЭУ им. Плеханова,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/reu.png,https://krasnodar.rea.ru/,['+7 (495) 958-27-43'],['8 (800) 222-55-71'],[],['rector@rea.ru'],
70,Краснодарский филиал Финансового Университета при Правительстве Российской Федерации,Краснодарский филиал ФУ при Правительстве РФ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/krasnodar/,[],[],[],[],
71,Красноярский институт железнодорожного транспорта (филиал) Иркутского государственного университета путей сообщения,Красноярский институт железнодорожного транспорта ИрГУПС,Красноярский край,1,-1,https://tabiturient.ru/logovuz/irgups.png,https://www.irgups.ru/krizht/,['+7 (3952) 63-83-70'],[],[],['pk@irgups.ru'],
72,Кубанский государственный аграрный университет имени И.Т. Трубилина,КубГАУ,Краснодарский край,1,7,https://tabiturient.ru/logovuz/kubsau.png,https://kubsau.ru/,[],[],[],[],
73,Кубанский государственный медицинский университет,КубГМУ,Краснодарский край,1,9,https://tabiturient.ru/logovuz/ksma.png,http://www.ksma.ru/,['+7 (800) 444-19-20'],[],['corpus@ksma.ru'],['corpus@ksma.ru'],
74,Кубанский государственный технологический университет,КубГТУ,Краснодарский край,1,6,https://tabiturient.ru/logovuz/kubstu.png,https://kubstu.ru/,[],[],[],[],
75,Кубанский государственный университет,КубГУ,Краснодарский край,1,8,https://tabiturient.ru/logovuz/kubsu.png,https://kubsu.ru/ru,['+7 (861) 219-95-30'],[],[],['abitur@kubsu.ru'],
76,Кубанский казачий государственный институт пищевой индустрии и бизнеса - филиал Московского государственного университета технологий и управления им. К.Г. Разумовского,Кубанский казачий институт пищевой индустрии и бизнеса МГУТУ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/mgutu.png,https://www.темрюк-мгуту.рф,[],[],[],[],
77,Кузбасский государственный технический университет имени Т. Ф. Горбачева,КузГТУ им. Т.Ф. Горбачева,Кемеровская область,1,3,https://tabiturient.ru/logovuz/kuzstu.png,https://www.kuzstu.ru/,"['8 (3842) 68-24-24', '8 (3842) 39-69-60']","['8 (3842) 39-69-60', '8 (3842) 68-23-14']",['39-69-60kuzstu@kuzstu.ru'],"['39-69-60kuzstu@kuzstu.ru', 'abit@kuzstu.ru']",
78,Кузбасский государственный аграрный университет имени В.Н. Полецкова,Кузбасский ГАУ,Кемеровская область,1,6,https://tabiturient.ru/logovuz/ksai.png,http://www.ksai.ru/,[],['+7(3842)73-43-59'],['ksai@ksai.ru'],[],
79,Кумертауский филиал Оренбургского государственного университета,Кумертауский филиал ОГУ,Республика Башкортостан,1,-1,https://tabiturient.ru/logovuz/osu.png,https://kf.osu.ru/,[],[],[],['kfosu@mail.ru'],
80,Курганская государственная сельскохозяйственная академия имени Т. С. Мальцева,Курганская ГСХА им. Т.С. Мальцева,Курганская область,1,3,https://tabiturient.ru/logovuz/ksaazaural.png,https://www.ksaa.zaural.ru/,[],[],[],[],
81,Курганский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Курганский филиал РАНХиГС,Курганская область,1,-1,https://tabiturient.ru/logovuz/kurg_ranepa.png,https://kurg.ranepa.ru/,[],[],[],[],
82,Курский государственный аграрный университет имени И.И. Иванова,Курский ГАУ им. И.И. Иванова,Курская область,1,3,https://tabiturient.ru/logovuz/kgsha.png,https://kursksau.ru/,[],[],[],[],
83,Курский филиал Финансового Университета при Правительстве Российской Федерации,Курский филиал ФУ при Правительстве РФ,Курская область,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/kursk/,[],[],[],[],
84,Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского,ЛГПУ,Липецкая область,1,6,https://tabiturient.ru/logovuz/lspulipetsk.png,http://lspu-lipetsk.ru/,[],[],[],[],
85,Липецкий государственный технический университет,ЛГТУ,Липецкая область,1,5,https://tabiturient.ru/logovuz/stulipetsk.png,http://www.stu.lipetsk.ru/,[],[],[],[],
86,Ленинградский государственный университет,ЛГУ им. А.С. Пушкина,Санкт-Петербург и Ленинградская область,1,9,https://tabiturient.ru/logovuz/lgu_pushkin.png,http://lengu.ru/,"['8 (812) 466-65-58', '8 (812) 500-94-89']",['8 (812) 500-94-89'],['priemlgu@lengu.ru'],"['priemlgu@lengu.ru', 'pushkin@lengu.ru']",
87,Литературный институт имени А.М. Горького,ЛИ им. А.М. Горького,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/litinstitut.png,http://litinstitut.ru/,"['+7 495 694-12-87', '8 (985) 960-70-58', '+7 (985) 960-70-58']",[],[],"['rectorat@litinstitut.ru', 'priem@litinstitut.ru']",
88,Лесосибирский педагогический институт - филиал Сибирского федерального университета,ЛПИ - филиал СФУ,Красноярский край,1,-1,https://tabiturient.ru/logovuz/sfu.png,https://lpi.sfu-kras.ru/,[],[],[],"['lpi-bs@sfu-kras.rulpisibfu', 'lpikrgu@wood.krasnet.ru']",
89,Лениногорский филиал Казанского национального исследовательского технического университета имени А. Н. Туполева,ЛФ КНИТУ-КАИ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kai.png,http://lfkai.ru/,['+7 967 778-00-69'],[],['lfknitukai@yandex.ru'],['lfknitukai@yandex.ru'],
90,Лысьвенский филиал Пермского национального исследовательского политехнического университета,ЛФ ПНИПУ,Пермский край,1,-1,https://tabiturient.ru/logovuz/pstu.png,http://lf.pstu.ru,[],[],[],['cc@lf.pstu.ru'],
91,Липецкий казачий государственный институт технологий и управления - филиал Московского государственного университета технологий и управления им. К.Г. Разумовского,Липецкий казачий институт технологий и управления МГУТУ,Липецкая область,1,-1,https://tabiturient.ru/logovuz/mgutu.png,http://mgutu48.ru,['8 (4742) 73-22-01'],[],[],['lipetsk@mgutm.ru'],
92,Липецкий филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Липецкий филиал РАНХиГС,Липецкая область,1,-1,https://tabiturient.ru/logovuz/lip_ranepa.png,https://lip.ranepa.ru/,[],[],[],[],
93,Липецкий филиал Финансового Университета при Правительстве Российской Федерации,Липецкий филиал ФУ при Правительстве РФ,Липецкая область,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/lipetsk/,[],[],[],[],
94,Лужский институт (филиал) Ленинградского государственного университета,Лужский институт (филиал) ЛГУ имени А.С. Пушкина,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/lgu_pushkin.png,http://www.lilgu.luga.ru/,['+7(905)272-42-67'],[],[],[],
95,Московский автомобильно-дорожный государственный технический университет,МАДИ,Москва и Московская область,1,5,https://tabiturient.ru/logovuz/madi.png,http://www.madi.ru/,"['8 (499) 346-01-68', '8 (499) 346-01-69']",['8 (499) 346-01-68'],['346-01-68info@madi.ru'],"['346-01-69priem@madi.ru', '346-01-68info@madi.ru']",
96,Московский авиационный институт,МАИ,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/mai.png,https://mai.ru/,[],[],[],[],
97,Московский архитектурный институт (государственная академия),МАРХИ,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/marhi.png,http://www.marhi.ru/,[],[],[],[],
98,Мурманский арктический университет,МАУ,Мурманская область,1,5,https://tabiturient.ru/logovuz/masu.png,https://www.mauniver.ru/,['8 800 350 1221'],"[""office@mauniver.ru""]","['office@mauniver.ru', 'priem@arcticsu.ru', 'priem@mauniver.ru', 'info@mauniver.ru']",['priem@mauniver.ru'],реорганизован в Мурманский Арктический
99,Московская государственная академия ветеринарной медицины и биотехнологии - МВА имени К.И. Скрябина,МГАВМиБ-МВА имени К.И. Скрябина,Москва и Московская область,1,7,https://tabiturient.ru/logovuz/mgavm.png,http://mgavm.ru/,['8 (495) 377-91-17'],[],[],['rector@mgavm.ru'],
100,Московский государственный институт культуры,МГИК,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/mgik.png,http://www.mgik.org/,['+7 (495) 570-31-33'],"['+7 (495) 570-31-33', '+7 (495) 570-31-22', '+7 (495) 570-04-77']","['rektor@mgik.org', 'kanc@mgik.org', 'mgikpr@mgik.org']",['rektor@mgik.org'],
101,Московский Государственный Институт (университет) Международных Отношений,МГИМО,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mgimo.png,https://mgimo.ru/,[],[],[],[],
102,Одинцовский филиал Московского государственного института международных отношений МИД России,МГИМО Одинцово,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mgimo_odintsovo.png,https://odin.mgimo.ru/,[],[],[],[],
103,Московская государственная консерватория имени П.И. Чайковского,МГК им. П.И. Чайковского,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/mosconsv.png,http://www.mosconsv.ru/,[],"['8 (495) 695-89-05', '+7 495 629-20-60']",['document@mosconsv.ru'],[],
104,Московский государственный лингвистический университет,МГЛУ,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mglu.png,https://linguanet.ru/,[],[],[],[],
105,Московский государственный медико-стоматологический университет им. А.И. Евдокимова,МГМСУ,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mgmsu.png,http://www.msmsu.ru/,['+7 (495) 609-67-00'],"['8(495)713-90-90', '8(495)713-90-96']",[],[],
106,Первый Московский государственный медицинский университет имени И. М. Сеченова,МГМУ им. Сеченова,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mgmu.png,https://www.sechenov.ru/,[],[],[],[],
107,"Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Леонова",МГОТУ им. А.А. Леонова,Москва и Московская область,1,6,https://tabiturient.ru/logovuz/unitechmo.png,https://unitech-mo.ru/,['+7 (495) 516-99-29'],['+7 (495) 516-99-29'],['mo_techuniv@mosreg.ru'],['mo_techuniv@mosreg.ru'],
108,Московский Государственный Психолого-Педагогический Университет,МГППУ,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/mgppu.png,http://mgppu.ru/,['+7 (495) 632-92-02'],[],[],['rectorat@mgppu.ru'],
109,Московский Городской Педагогический Университет,МГПУ,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mgpu.png,https://www.mgpu.ru/,"['+7 (499) 181-21-77', '+7 (499) 181-24-62']",[],[],['181-24-62info@mgpu.ru'],
110,Мордовский государственный педагогический университет имени М.Е. Евсевьева,МГПУ им. М.Е. Евсевьева,Республика Мордовия,1,6,https://tabiturient.ru/logovuz/mordgpi.png,https://www.mordgpi.ru/,"['8342) 33-92-50', '8(8342) 33-92-58', '8(8342) 33-92-50']","['8(8342)33-92-65', '8(8342)33-93-93', '8 (8342) 33-93-90', '8342) 33-93-04', '8342) 33-92-64', '89401366000', '8342)\xa033-93-90', '8(8342)33-92-60', '8(8342)33-93-05']","['fvd2@mail.ru', 'financial@mordgpi.ru', 'prcom@mordgpi.ru', 'it@mordgpi.ru', 'nalog@mordgpi.ru', 'edu_man@mordgpi.ru', 'library@mordgpi.ru', 'general@mordgpi.ru']","['prcom@mordgpi.ru', 'general@mordgpi.ru']",
111,Российский государственный геологоразведочный университет имени Серго Орджоникидзе,МГРИ,Москва и Московская область,1,5,https://tabiturient.ru/logovuz/mgri.png,https://www.mgri.ru/,['+7 (495) 228-00-87'],[],[],['office@mgri.ru'],
