direction,profile,program_code,vuz,faculty,exams,scores,forms
Психология,Психология,37.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Психолого-педагогическое образование,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Реклама и связи с общественностью,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Спорт,Спорт,49.03.04,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Спорт,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Управление персоналом,[],"[[ 'очная'], [ 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Экономика,[],"[[ 'очная'], [ 'очно-заочная'], [ 'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Юриспруденция,[],"[[ 'очная'], [ 'очно-заочная'], [ 'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Бизнес-информатика,[],"[[ 'очная'], [ 'заочная'], [ 'очно-заочная'], [ 'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Государственное и муниципальное управление,[],"[[ 'очная'], [ 'заочная'], [ 'очно-заочная'], [ 'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Дизайн,[],"[[ 'очная'], [ 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Журналистика,[],"[[ 'очная'], [ 'заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Землеустройство и кадастры,Землеустройство и кадастры,21.03.02,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Землеустройство и кадастры,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информатика и вычислительная техника,Информатика и вычислительная техника,09.03.01,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Информатика и вычислительная техника,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информационные системы и технологии,Информационные системы и технологии,09.03.02,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Информационные системы и технологии,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Прикладная информатика,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Реклама и связи с общественностью,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Торговое дело,Торговое дело,38.03.06,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Торговое дело,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Экономика,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Аккредитованное образовательное частное учреждение высшего образования Московский финансово-юридический университет МФЮА,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Автономная некоммерческая организация высшего образования «Российский новый университет»,Бизнес-информатика,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Гостиничное дело,Гостиничное дело,43.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Гостиничное дело,[],"[['+', 'очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Автономная некоммерческая организация высшего образования «Российский новый университет»,Государственное и муниципальное управление,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Издательское дело,Издательское дело,42.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Издательское дело,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информатика и вычислительная техника,Информатика и вычислительная техника,09.03.01,Автономная некоммерческая организация высшего образования «Российский новый университет»,Информатика и вычислительная техника,[],"[['+', 'очная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информационные системы и технологии,Информационные системы и технологии,09.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Информационные системы и технологии,[],"[['очная'], ['заочная'], ['+', 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Лингвистика,[],"[['+', 'очная'], ['заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Математическое обеспечение и администрирование информационных систем,Математическое обеспечение и администрирование информационных систем,02.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Математическое обеспечение и администрирование информационных систем,[],"[['+', 'очная'], ['+', 'очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Наноинженерия,Наноинженерия,28.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Наноинженерия,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование,Педагогическое образование,44.03.01,Автономная некоммерческая организация высшего образования «Российский новый университет»,Педагогическое образование,[],"[['+', 'очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Прикладная информатика,[],"[['+', 'очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная математика и информатика,Прикладная математика и информатика,01.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Прикладная математика и информатика,[],"[['+', 'очная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Автономная некоммерческая организация высшего образования «Российский новый университет»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Психолого-педагогическое образование,[],"[['очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация высшего образования «Российский новый университет»,Реклама и связи с общественностью,[],"[['+', 'очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Социальная работа,Социальная работа,39.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Социальная работа,[],"[['очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Специальное (дефектологическое) образование,Специальное (дефектологическое) образование,44.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Специальное (дефектологическое) образование,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Туризм,Туризм,43.03.02,Автономная некоммерческая организация высшего образования «Российский новый университет»,Туризм,[],"[['очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Автономная некоммерческая организация высшего образования «Российский новый университет»,Управление персоналом,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация высшего образования «Российский новый университет»,Экономика,[],"[['+', 'очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
